Project Name,Procuring Entity,OCID,Project Cost,Contractor,Class,Asset Range,No of Employee,Year,Status,Remark,Award Date,Publication Date,Project Location
Procurement of Public Address Equipment for indoor and Outside Usage,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-6202257167625,"₦1,993,000.00",MOLAB AND SONS NIG ENT,Private Organization,,0,2021,COMPLETED,,"Wednesday, March 3, 2021",2022-06-09,IKEJA
PROCUREMENT OF ACCOUNTING EXPENSES FOR YEAR 2022,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202252684375,"₦1,990,000.00",RAWAQI LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",23,2022,COMPLETED,,"Thursday, March 31, 2022",2022-06-09,"YABA, LAGOS"
PROCUREMENT OF PERSONAL PROTECTIVE EQUIPMENT (PPE) AND ADVERSE EVENT FOLLOWING IMMUNIZATION (AEFI) KITS FOR PHASE 3 COVID -19 VACCINATIONS IN LAGOS STATE,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202247883710,"₦72,983,650.00",A AND J NIGERIA ENTERPRISES,Private Organization,"₦25,000,001 to ₦50,000,000",21,2022,COMPLETED,,"Thursday, March 31, 2022",2022-06-09,"YABA, LAGOS"
RENOVATION OF THE RECEPTION/FRONT DESK OFFICE OF THE MINISTRY,MINISTRY OF COMMERCE AND INDUSTRY,ocds-5q8fsw-6202286721510,"₦5,500,000.00",WINDSOR WOOD FURNITURE & FITTINGS,Private Organization,,0,2021,COMPLETED,,"Wednesday, March 3, 2021",2022-06-09,ALAUSA
THE SUPPLY & INSTALLATION OF LED DOUBLE BUCK-HEAD COMBO RENEWABLE ENERGY STREET LIGHTING WITHIN LASU CAMPUS.,OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202248166110,"₦348,600,000.00",4LOGIX LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",34,2021,COMPLETED,,"Tuesday, November 2, 2021",2022-06-09,LAGOS
LAGOS STATE PARTICIPATION AT THE 2021 LAGOS INTERNATIONAL TRADE FAIR,MINISTRY OF COMMERCE AND INDUSTRY,ocds-5q8fsw-6202226464731,"₦30,000,000.00",TMZ EVENT PLANNERS,Private Organization,"₦25,000,001 to ₦50,000,000",25,2021,COMPLETED,,"Friday, May 14, 2021",2022-06-09,LAGOS
EDUDRAMA,OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202287351180,"₦9,500,000.00",BACK2STAGE,Private Organization,"₦10,000,001 to ₦25,000,000",45,2021,COMPLETED,,"Wednesday, October 20, 2021",2022-06-09,LAGOS
"PROCUREMENT OF PLASTIC CHAIRS, PLASTIC TABLE, MEGAPHONES AND CANOPIES (UNICEF SUPPORT FOR PHASE 3 COVID MASS VACCINATION IN LAGOS STATE)",PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202276361163,"₦29,943,000.00",RAWAQI LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",23,2021,COMPLETED,,"Wednesday, December 22, 2021",2022-06-09,"YABA, LAGOS"
REHABILITATION / UPGRADING OF 45 NOS PUBLIC LIBRARIES IN LAGOS SECONDARY SCHOOLS (PHASE 3).,OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202257751005,"₦256,500,000.00",HYPERWORLD INT CO,Private Organization,,0,2021,ON-GOING,,"Wednesday, December 15, 2021",2022-06-09,LAGOS
THE STAGING OF 6TH LAGOS STATE MSMEs EXCLUSIVE FAIR,MINISTRY OF COMMERCE AND INDUSTRY,ocds-5q8fsw-6202242133005,"₦40,000,000.00",TMZ EVENT PLANNERS,Private Organization,"₦25,000,001 to ₦50,000,000",25,2021,COMPLETED,,"Wednesday, April 14, 2021",2022-06-09,LAGOS
PURCHASE AND INSTALLATION OF MAGNETIC CONFERENCE SYSTEM IN THE MINISTRY,MINISTRY OF COMMERCE AND INDUSTRY,ocds-5q8fsw-6202237360408,"₦2,304,000.00",VELPORT INTEGRATED SERVICES,Private Organization,"₦100,000,001 to ₦200,000,000",45,2021,COMPLETED,,"Thursday, April 8, 2021",2022-06-09,ALAUSA
"SUPPLY OF BOOKS"" BEHIND THE STREET""",OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202238024814,"₦15,000,000.00",XS-PROFICIENT MEDIA SERVICES LIMITED,Private Organization,,0,2021,COMPLETED,,"Monday, October 18, 2021",2022-06-09,LAGOS
PROVISION OF UTILITY CROSS DUCTS ACROSS THE METROPOLIS (LOT 1),LAGOS STATE INFRASTRUCTURAL MAINTENANCE & REGULATORY AGENCY(LASMIRA),ocds-5q8fsw-6202230108103,"₦18,481,263.88",EXIM SAT NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,THE EXISTING SERVICE DUCT COVERS MADE OF LIGHT CONCRETE USUALLY GETS DAMAGED AND THE DUCT CHAMBERS LEFT OPEN POSTING POSSIBLE DANGER TO THE INHABITANTS OF THE STATE WILL BE RELOACATED TO THE CROSS DUCT AND REPLACE WITH REINFORCED SITU CONCRETE,"Monday, November 29, 2021",2022-06-09,"IKEJA, LAGOS"
TH DEVELOPMENT OF PHASE 1 TRUCK PARK FOR LEKKI FREE ZONE AXIS,MINISTRY OF COMMERCE AND INDUSTRY,ocds-5q8fsw-6202225825607,"₦607,414,238.00",DOMINANT ENGINEERING LTD,Private Organization,,0,2021,ONGOING,,"Friday, August 20, 2021",2022-06-09,LEKKI
REHABILITATION / UPGRADING OF 66 NOS PUBLIC LIBRARIES IN LAGOS SECONDARY SCHOOLS (PHASE 2),OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202228516038,"₦495,000,000.00",HYPERWORLD INT CO,Private Organization,,0,2021,COMPLETED,,"Friday, August 13, 2021",2022-06-09,LAGOS
THE CONVERSION OF PORTAKABINS INTO OFFICES AND PROVISION OF FURNITURE EQUIPMENT FOR ALIMOSHO AREA OFFICE,MINISTRY OF COMMERCE AND INDUSTRY,ocds-5q8fsw-6202265378268,"₦16,642,701.73",MARKSEN PROJECTS LTD.,Private Organization,,0,2021,ONGOING,,"Friday, May 14, 2021",2022-06-09,"ALIMOSHO, LAGOS"
QUALITY CONTROL SYSTEM AND MANAGEMENT FOR TEMPERATURE EXCURSION FOR PHASE 3 COVID -19 VACCINATIONS IN LAGOS STATE,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202210075238,"₦12,540,000.00",PATH GLOBAL,Private Organization,,0,2022,COMPLETED,,"Tuesday, January 4, 2022",2022-06-09,"YABA, LAGOS"
EKO DIGITAL SKILLS PROGRAMME (PHASE 2),OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202254204627,"₦220,000,000.00",ADVENT MANAGEMENT SOLUTION LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, August 13, 2021",2022-06-09,LAGOS
PROCUREMENT OF CHRONICLE BOARDS TO BE PLACED AT THE CONFERENCE ROOM OF THE MINISTRY'S,MINISTRY OF COMMERCE AND INDUSTRY,ocds-5q8fsw-6202228646631,"₦450,000.00",DAPSY PRINTS CONCEPT,Private Organization,,0,2021,COMPLETED,,"Thursday, April 8, 2021",2022-06-09,Unspecified
JOB INITIATIVE LAGOS PROGRAM (PHASE 2),OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202203228205,"₦232,289,333.67",LOFTYINC ALLIED PARTNERS LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, August 12, 2021",2022-06-09,LAGOS
DIGITALIZATION OF MEDICAL SERVICES AND ELECTRONIC MEDICAL SYSTEM OF THE PRIMARY HEALTH CARE (PHC) FACILITIES IN  LAGOS STATE,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202234727642,"₦280,684,000.00",TALAMUS HEALTHCARE LTD,Private Organization,,0,2022,COMPLETED,,"Thursday, February 3, 2022",2022-06-09,"YABA, LAGOS"
DESIGN OF THE OSAE RESOURCE PORTAL,OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202254600377,"₦14,200,000.00",GIGADOTSOLUTION,Private Organization,,0,2021,COMPLETED,,"Friday, June 25, 2021",2022-06-09,"ALAUSA, LAGOS"
CONSULTING SERVICES FOR HOSTING Y2021 OSAE FAMILY RETREAT,OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202251221534,"₦3,255,000.00",CODEBASE DERIVATIVES WAREHOUSE LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, June 16, 2021",2022-06-09,"ALAUSA, LAGOS"
RENOVATION OF IGBONLA PRIMARY HEALTH CARE CENTRE (PHCC) EREDO LCDA,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202285582340,"₦72,557,943.98",GAKWORLD NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, October 1, 2021",2022-06-09,"EREDO, LAGOS"
RENOVATION OF SOLU-ALADE PRIMARY HEALTH CARE CENTRE (PHCC) IN IBEJU LEKKI LG,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202251571168,"₦97,286,595.71",DEE MUFAT RESOURCES LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, October 1, 2021",2022-06-09,"LEKKI, LAGOS"
REHABILITATION / UPGRADING OF 66 NOS PUBLIC LIBRARIES IN LAGOS SECONDARY SCHOOLS (PHASE 1),OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202210800515,"₦495,000,000.00",HYPERWORLD INT CO,Private Organization,,0,2021,COMPLETED,,"Thursday, April 15, 2021",2022-06-09,LAGOS
PUSH VACCINES FOR PHASE 2(FIRST DOSE) COVID-19 MODERNA CONSIGNMENT VACCINATION IN LAGOS STATE,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202205146332,"₦5,551,599.88",GAKWORLD NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Tuesday, December 21, 2021",2022-06-09,"YABA, LAGOS"
JOB INITIATIVE LAGOS PROGRAM (PHASE 1),OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202263304368,"₦232,289,333.67",LOFTYINC ALLIED PARTNERS LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, March 11, 2021",2022-06-09,"ALAUSA, LAGOS"
EKO DIGITAL SKILLS PROGRAMME (PHASE 1),OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202215203855,"₦265,250,000.00",ADVENT MANAGEMENT SOLUTION LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, March 10, 2021",2022-06-09,"ALAUSA, IKEJA"
PUSH VACCINES FOR PHASE 2 (SECOND DOSE) COVID-19 VACCINATION IN LAGOS STATE,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202221644651,"₦7,123,320.25",GAKWORLD NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Tuesday, December 21, 2021",2022-06-09,"YABA, LAGOS"
PROCUREMENT OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR PHASE 2 (SECOND DOSE) COVID-19 VACCINATION IN LAGOS STATE,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202253830645,"₦41,661,500.00",MEXZEN PHARMACEUTICAL AND CHEMICAL INDUSTRIES LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, December 24, 2021",2022-06-09,"YABA, LAGOS"
ENGAGEMENT OF INTERNAL ANALYST FOR PPP-BASED PROJECTS WITHIN THE OFFICE OF PUBLIC-PRIVATE PARTNERSHIPS,OFFICE OF PUBLIC PRIVATE PARTNERSHIPS,ocds-5q8fsw-6202288671722,"₦21,000,000.00",INDIVIDUAL CONSULTANTS,Private Organization,"₦50,000,001 to ₦100,000,000",34,2022,ONGOING,,"Monday, March 28, 2022",2022-06-09,OPPP
THE PROVISION OF FINANCIAL ADVISORY SERVICES ON PPP-RELATED PROJECTS DOMICILED IN THE OFFICE OF PUBLIC-PRIVATE PARTNERSHIPS,OFFICE OF PUBLIC PRIVATE PARTNERSHIPS,ocds-5q8fsw-6202255228084,"₦50,000,000.00",SYNONYMOUS SOLUTION LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",32,2021,COMPLETED,,"Thursday, September 23, 2021",2022-06-09,OPPP
REVAMPING THE WEBSITE AND INTEGRATING A PAYMENT GATEWAY FOR THE OFFICE OF PUBLIC-PRIVATE PARTNERSHIPS,OFFICE OF PUBLIC PRIVATE PARTNERSHIPS,ocds-5q8fsw-6202258502656,"₦9,997,500.00",QISTA TECHNOLOGIES,Private Organization,,0,2021,COMPLETED,,"Tuesday, August 3, 2021",2022-06-09,OPPP
THE PROVISION OF TECHNICAL ADVISORY SERVICES ON PPP-RELATED PROJECTS DOMICILED IN THE OFFICE OF PUBLIC-PRIVATE PARTNERSHIPS,OFFICE OF PUBLIC PRIVATE PARTNERSHIPS,ocds-5q8fsw-6202212172575,"₦49,890,000.00",MCOLIVIA CONSULTING LIMITED*,Private Organization,,0,2021,ONGOING,,"Thursday, September 23, 2021",2022-06-09,OPPP
THE PROVISION OF LEGAL ADVISORY SERVICES ON PPP-RELATED PROJECTS DOMICILED IN THE OFFICE OF PUBLIC-PRIVATE PARTNERSHIPS,OFFICE OF PUBLIC PRIVATE PARTNERSHIPS,ocds-5q8fsw-6202270511228,"₦53,000,000.00",LIBRA LAW OFFICE,Private Organization,,0,2021,COMPLETED,,"Thursday, September 23, 2021",2022-06-09,OPPP
THE DEMOLITION OF EXISTING BUILDINGS ON THE PROJECT SITE OF THE LAGOS MEDICAL PARK,OFFICE OF PUBLIC PRIVATE PARTNERSHIPS,ocds-5q8fsw-6202207361717,"₦70,998,375.00",MUMAY GLOBAL ENGINEERING SERVICES LTD,Private Organization,,0,2021,ONGOING,,"Tuesday, August 3, 2021",2022-06-09,LAGOS
STATE AND LGA LEVEL CAPACITY BUILDING ON THE IMPLEMENTATION OF BASIC HEALTH CARE PROVISION FUNDS IN LAGOS (EVENT PLANNING FOR CAPACITY BUILDING FOR BASIC HEALTH PROVISION FUND,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202263301514,"₦33,641,000.00",JAY 'N' EFF EVENT PLANNERS,Private Organization,,0,2021,COMPLETED,,"Friday, November 19, 2021",2022-06-09,"YABA, LAGOS"
PROCUREMENT OF MEDICAL CONSUMABLE AND PERSONAL PROTECTIVE EQUIPMENT FOR THE CONTAINMENT OF THIRD WAVE OF COVID -19 PANDEMIC AT THE LGAS IN LAGOS STATE FOR THREE(3 MONTHS),PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202200553726,"₦14,997,200.00",MEXZEN PHARMACEUTICAL AND CHEMICAL INDUSTRIES LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, November 19, 2021",2022-06-08,"YABA, LAGOS"
PROCUREMENT OF PRINTER TONERS,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202275610515,"₦1,122,000.00",KINGSTON TECHNOLOGIES LTD,Private Organization,,0,2021,COMPLETED,,"Wednesday, August 11, 2021",2022-06-08,"YABA, LAGOS"
REHABILITATION OF REFRIGERATING UNIT AND RENOVATION OF MAIN BUILDING AT THE STATE NPI COLD STORE,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202240526013,"₦14,961,279.00",GAKWORLD NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, August 11, 2021",2022-06-08,"YABA, LAGOS"
PROCUREMENT OF PADIATRIC ZINC/LOW OSMOLARITY ORS CO-PACK TABLETS FOR THE PRIMARY HEALTH CARE CENTRES IN THE 57 LGAS/LCDAS IN LAGOS STATE,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202255876775,"₦9,237,987.00",MEXZEN PHARMACEUTICAL AND CHEMICAL INDUSTRIES LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, August 11, 2021",2022-06-08,"YABA, LAGOS"
PROCUREMENT OF MALARIA RAPID DIAGNOTIC TEST KIT FOR 200 PRIMARY HEALTH CENTERS IN LAGOS STATE,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202266268538,"₦23,018,400.00",WHEZ ENTERPRISES,Private Organization,,0,2021,COMPLETED,,"Wednesday, August 11, 2021",2022-06-08,"YABA, LAGOS"
RENOVATION OF DEBOJO PHC- ADDITIONAL WORKS (GATEHOUSE AND FENCE),PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202245025328,"₦19,403,618.85",TICKTOS NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Tuesday, August 10, 2021",2022-06-08,"YABA, LAGOS"
E-HEALTH SMART HEALTH INFORMATION PLATFORM (SHIP)PROJECT FOR THE LAGOS STATE MINISTRY OF HEALTH,OFFICE OF PUBLIC PRIVATE PARTNERSHIPS,ocds-5q8fsw-6202246051306,"₦42,000,000.00",THE NEW PRACTICE,Private Organization,,0,2021,COMPLETED,,"Friday, July 16, 2021",2022-06-08,"ALAUSA, IKEJA"
E-HEALTH SMART HEALTH INFORMATION PLATFORM (SHIP)PROJECT FOR THE LAGOS STATE MINISTRY OF HEALTH,OFFICE OF PUBLIC PRIVATE PARTNERSHIPS,ocds-5q8fsw-6202244388005,"₦48,000,000.00",VISTA ADVISORY PARTNERS LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, July 16, 2021",2022-06-08,"ALAUSA, IKEJA"
E-HEALTH SMART HEALTH INFORMATION PLATFORM (SHIP)PROJECT FOR THE LAGOS STATE MINISTRY OF HEALTH,OFFICE OF PUBLIC PRIVATE PARTNERSHIPS,ocds-5q8fsw-6202240036412,"₦48,000,000.00",MAGIC FINGERS TECHNOLOGIES LIMITED,Private Organization,,0,2021,ONGOING,,"Friday, July 16, 2021",2022-06-08,LAGOS
PROCUREMENT OF STATIONERY FOR LAGOS STATE PRIMARY HEALTH CARE BOARD (LSPHCB),PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202287413757,"₦1,995,750.00",LAURYNBANKY INTERNATIONAL COMPANY,Private Organization,,0,2021,COMPLETED,,"Thursday, June 10, 2021",2022-06-08,"YABA, LAGOS"
THE PROVISION OF STRATEGIC COMMUNICATION AND BRANDING CONSULTING SERVICES FOR THE OPPP,OFFICE OF PUBLIC PRIVATE PARTNERSHIPS,ocds-5q8fsw-6202226330565,"₦30,000,000.00",DKK & ASSOCIATES LIMITED,Private Organization,,0,2021,ONGOING,,"Friday, August 6, 2021",2022-06-08,oppp
PROCUREMENT OF MEDICAL LABORATORY REAGENT REVOLVING FUND,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202261443558,"₦23,604,000.00",WHEZ ENTERPRISES,Private Organization,,0,2021,COMPLETED,,"Thursday, September 23, 2021",2022-06-08,"YABA, LAGOS"
ENVIRONMENTAL SANITATION SERVICES (CHEMICAL /BACTERILOGICAL ANALYSIS OF 19 COMPREHENSIVE PHCS IN THE 2ND QUARTER OF Y2021,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202201522384,"₦1,976,000.00",LAURYNBANKY INTERNATIONAL COMPANY,Private Organization,,0,2021,COMPLETED,,"Friday, August 27, 2021",2022-06-08,"YABA, LAGOS"
PROCUREMENT OF SEED STOCK OF ESSENTIAL MEDICINES AND CONSUMABLES TO OPERATE THE REVOLVING FUND (SDRF) AT THE PRIMARY HEALTH CENTERS IN LAGOS STATE,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202227337060,"₦50,983,764.00",TRIPPLEACE PHARMACEUTICAL LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, September 23, 2021",2022-06-08,"YABA, LAGOS"
PROCUREMENT OF DECONTAMINANT TO AUGMENT THE DECONTAMINATION EXERCISE OF ALL PRIMARY HEALTH CARE CENTERS IN THE STATE,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202283224421,"₦6,095,000.00",LAURYNBANKY INTERNATIONAL COMPANY,Private Organization,,0,2021,COMPLETED,,"Monday, August 9, 2021",2022-06-08,"YABA, LAGOS"
PROCUREMENT OF COMPUTER ACCESSORIES FOR BUDGET& PLANNING UNIT,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202210886500,"₦1,373,350.00",LAURYNBANKY INTERNATIONAL COMPANY,Private Organization,,0,2021,COMPLETED,,"Monday, August 9, 2021",2022-06-08,"YABA, LAGOS"
Demolition of Distress Building,LAGOS STATE BUILDING CONTROL AUTHORITY,ocds-5q8fsw-6202213646730,"₦54,057,267.24",BISMHA CONSTRUCTION COMPANY,Private Organization,,0,2021,ACTIVE,,"Wednesday, July 14, 2021",2022-06-08,Unspecified
PROCUREMENT OF I.T CONSUMABLES AND MAINTENANCE OF I.T INFRASTRUCTURES IN ALL PRIMARY HEALTH CARE CENTERS AND BOARD,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202264860022,"₦2,283,000.00",KINGSTOM TECHNOLOGIES LIMITED,Private Organization,,0,2021,COMPLETED,,"Monday, August 9, 2021",2022-06-08,"YABA, LAGOS"
PROCUREMENT OF PPE,LAGOS STATE BUILDING CONTROL AUTHORITY,ocds-5q8fsw-6202238206577,"₦19,914,315.00",BISMHA CONSTRUCTION COMPANY,Private Organization,,0,2021,COMPLETED,,"Friday, April 30, 2021",2022-06-08,LASBCA
"Construction of Perimeter Fence at the Proposed Cultural Village, Alimosho, Lagos","MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202262060244,"₦73,062,861.43",PLUS MIXER WORKS LTD,Private Organization,,0,2022,ON-GOING,,"Thursday, April 14, 2022",2022-06-08,"ALIMOSHO, LAGOS"
SUPPLEMENTARY COVID-19 VACCINATION IN LAGOS STATE (PROCUREMENT OF PERSONAL PROTECTIVE EQUIPMENT (PPE),PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202203213120,"₦58,490,470.00",TRIPPLEACE PHARMACEUTICAL LIMITED,Private Organization,,0,2021,COMPLETED,,"Tuesday, July 27, 2021",2022-06-08,"YABA, LAGOS"
Stakeholders Enlightment,LAGOS STATE BUILDING CONTROL AUTHORITY,ocds-5q8fsw-6202280871313,"₦16,897,000.00",DEKAYNE HEIGHT LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, April 30, 2021",2022-06-08,LASBCA
ENGAGEMENT OF CATERING SERVICES FOR ACTIVITIES OF THE PROCUREMENT UNIT,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202227550366,"₦577,500.00",JAY 'N' EFF EVENT PLANNERS,Private Organization,,0,2021,COMPLETED,,"Wednesday, August 25, 2021",2022-06-08,"YABA, LAGOS"
"Documentation of all Monuments, Heritage Sculptures and Architectural Buildings in Lagos State","MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202234416302,"₦20,000,000.00",RUBICON ASSOCIATES,Private Organization,,0,2021,ON-GOING,,"Friday, December 17, 2021",2022-06-08,LAGOS
PROCUREMENT OF STATIONERY FOR PROCUREMENT UNIT,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202267824205,"₦789,500.00",GOLDWATERS ASSOCIATES,Private Organization,,0,2021,COMPLETED,,"Wednesday, August 25, 2021",2022-06-08,"YABA, LAGOS"
Maintenance of Ma'ami monument,"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202286717725,"₦7,000,000.00",O.MODUPE STUDIO,Private Organization,"₦10,000,001 to ₦25,000,000",13,2021,COMPLETED,,"Wednesday, November 10, 2021",2022-06-08,LAGOS
Procurement Of Tyre & Battery,LAGOS STATE BUILDING CONTROL AUTHORITY,ocds-5q8fsw-6202251557706,"₦15,000,000.00",UBA - RAJID NIG ENTERPRISES,Private Organization,,0,2021,COMPLETED,,"Friday, May 14, 2021",2022-06-08,LASBCA
"""
  Y2021 LAST DAY IN OFFICE CEREMONY
 """,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202204477626,"₦10,151,625.00",JAY 'N' EFF EVENT PLANNERS,Private Organization,,0,2021,COMPLETED,,"Tuesday, July 20, 2021",2022-06-08,"YABA, LAGOS"
Maintenance of Ojuloge monument,"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202248538554,"₦7,000,000.00",O.MODUPE STUDIO,Private Organization,"₦10,000,001 to ₦25,000,000",13,2021,COMPLETED,,"Wednesday, November 10, 2021",2022-06-08,LAGOS
Y2021 PROMOTION EXERCISE,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202215804431,"₦241,680.00",JAY 'N' EFF EVENT PLANNERS,Private Organization,,0,2021,COMPLETED,,"Thursday, July 8, 2021",2022-06-08,"YABA, LAGOS"
Rehabilitation and Rejuvenation of Eyin Eyo for Tourism Development (Lot II – Restoration of Eyo Monument),"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202243048688,"₦23,980,293.75",ARTIVITY CORNFIELD LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",29,2021,ON-GOING,,"Monday, November 8, 2021",2022-06-08,LAGOS
PROVISION OF BLANKET COMPLEMENTARY FOOD FOR CHILDREN IN THE PRIMARY HEALTH CARE CENTRES,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202287343712,"₦3,999,200.00",TAMARAP INTERNATIONAL COMPANY LIMITED,Private Organization,,0,2021,COMPLETED,,"Tuesday, July 27, 2021",2022-06-08,"YABA, LAGOS"
Rehabilitation and Rejuvenation of Eyin Eyo for Tourism Development (Lot I – Redevelopment and Refurbishment of Nnamdi Azikiwe Roundabout),"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202213774580,"₦44,273,875.00",KARCHATEL SERVICES LTD,Private Organization,"₦10,000,001 to ₦25,000,000",26,2021,ON-GOING,,"Monday, November 8, 2021",2022-06-08,LAGOS
PROCUREMENT OF ESSENTIAL MEDICINES,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202251087524,"₦56,385,887.89",DATOTEM NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, July 22, 2021",2022-06-08,"YABA, LAGOS"
Upkeep of LASBCA district offices,LAGOS STATE BUILDING CONTROL AUTHORITY,ocds-5q8fsw-6202235426303,"₦18,525,000.00",UBA - RAJID NIG ENTERPRISES,Private Organization,,0,2021,COMPLETED,,"Friday, April 30, 2021",2022-06-08,LASBCA
Stakeholder call to Action on the Lagos State Preservation Law 2011 & 87 Listed sites” – Badagry as a Pilot Site,"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202230662548,"₦150,000,000.00",IGA NIGERIA LIMITED,Private Organization,"₦5,000,001 to ₦10,000,000",21,2021,COMPLETED,,"Wednesday, October 20, 2021",2022-06-08,"BADAGRY, LAGOS"
Procurement of Consumables,LAGOS STATE BUILDING CONTROL AUTHORITY,ocds-5q8fsw-6202203172685,"₦14,853,060.00",UBA - RAJID NIG ENTERPRISES,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021",2022-06-08,LASBCA
REPRODUCTIVE HEALTH MEDICAL CONSUMABLES FOR FAMILY PLANNING FOR ALL PRIMARY HEALTHCARE CENTRES,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202200487858,"₦30,000,000.00",WHEZ ENTERPRISES,Private Organization,,0,2021,COMPLETED,,"Tuesday, December 7, 2021",2022-06-08,"YABA, LAGOS"
Maintenance of King Ado monument,"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202218366042,"₦4,664,000.00",O.MODUPE STUDIO,Private Organization,"₦10,000,001 to ₦25,000,000",13,2021,COMPLETED,,"Friday, September 17, 2021",2022-06-08,Unspecified
